Id,Icon,Name_DE,Name_EN,Name_PRT,Name_ESP,Calories_a_100g,Weight_per_piece,GroupId,Fat_a_100g,Saturated_fat_a_100g,Carbohydrates_a_100g,Sugar_a_100g,Salt_a_100g,Protein_a_100g,Fiber_a_100g,Name_ID,Name_NL,Name_SE,Name_DK,Name_NO,Name_MS,Genus_DE,Genus_EN,Genus_ESP,Genus_PRT,Genus_ID,Genus_MS,Genus_NL,Genus_SE,Genus_DK,Genus_NO,is_liquid,is_hard,is_soft,is_fat
188,NULL,Tempeh (natur),Tempeh,Tempeh,Tempeh,165,0,2,9.00,1.50,3.00,0.50,0.02,19.00,5.50,Roti burger,Tempé (natuur),Tempeh (naturell,Tempeh (naturel),Tempeh (naturell),Tempe (asli),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
189,NULL,Smelt,Smelt,Eperlano,Eperlano,94,0,1,2.50,0.50,0.00,0.00,0.15,18.00,0.00,Roti hot dog,Spiering,Nors,Smelt,Krøkle,Ikan smelt,M,-,M,M,-,-,DE,EN,ET,EN,0,1,0,0
190,NULL,Jambu,Jambu,Jambu,Jambu,22,0,2,0.30,0.10,3.50,0.50,0.05,1.90,2.50,Roti baguette,Jambu,Jambu,Jambu,Jambu,Jambu,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
191,NULL,Tucupi,Tucupi,Tucupi,Tucupi,28,0,7,0.10,0.00,6.50,0.20,0.01,0.50,0.50,Roti ciabatta,Tucupi,Tucupi,Tucupi,Tucupi,Tucupi,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
192,NULL,"Maniok Mehl ",Cassava flour,Farinha de mandioca,Harina de mandioca,360,0,7,0.00,0.00,85.00,2.00,0.00,0.00,0.00,Roti focaccia,Cassavemeel,Maniokmjöl (Kassavamjöl,Maniokmel,Maniokmel (Cassavamel),Tepung ubi kayu,N,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
193,NULL,Sardinen (in öl),Sardines (in oil),Sardinhas,Sardinas,220,0,6,14.00,3.00,0.00,0.00,1.00,24.00,0.00,Roti brioche,Sardines (in olie),Sardiner (i olja,Sardiner (i olie),Sardiner (i olje),Sardin (dalam minyak),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,1
194,NULL,Sardinen,Fresh sardines,Sardinhas frescas,Sardinas frescas,135,0,6,6.00,1.50,0.00,0.00,0.15,21.50,0.00,Roti bagel,Sardines,Sardiner,Sardiner,Sardiner,Sardin,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
195,NULL,Sesamöl,Sesame oil,Óleo de sésamo,Aceite de sésamo,828,0,7,92.00,13.00,0.00,0.00,0.00,0.00,0.00,Croissant,Sesamolie,Sesamolja,Sesamolie,Sesamolje,Minyak bijan,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
196,NULL,Erdnuss,Peanuts,Amendoim (torrado),Cacahuetes,585,0,7,49.70,7.00,16.00,4.00,0.01,26.00,8.50,Donat,Pinda,Jordnöt,Jordnød,Peanøtt,Kacang tanah,M,-,PL,M,-,-,DE,ET,EN,ET,0,1,0,0
197,NULL,Venusmuscheln,Venus clams,Amêijoas,Almejas,74,0,6,1.00,0.10,4.00,0.00,1.20,12.00,0.00,Kue,Venusschelpen,Hjärtmusslor,Venusskaller,Hjerteskjell,Kerang venus,M,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
198,🧄,Knoblauchzehe,Garlic,Alho,Ajo,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Biskuit,Knoflookteentje,Vitlöksklyfta,Hvidløgsfed,Hvitløksfedd,Ulas bawang putih,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
199,NULL,Pancetta,Pancetta,Pancetta,Panceta,350,0,1,30.00,12.00,0.50,0.00,3.50,19.00,0.00,Wafel,Pancetta,Pancetta,Pancetta,Pancetta,Pancetta,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
200,🥛,Ricotta,Ricotta cheese,Ricota,Requesón,150,0,3,12.00,8.00,3.50,3.00,0.25,7.50,0.00,Pancake,Ricotta,Ricotta,Ricotta,Ricotta,Keju Ricotta,M,-,M,F,-,-,DE,EN,EN,EN,0,0,1,0
201,🌶️,Poblano-Chilis,Poblano pepper,Pimenta Poblano,Chile poblano,28,100,2,0.40,0.10,6.00,3.50,0.01,1.20,2.80,Crepe,Poblano pepers,Poblano-chili,Poblano-chili,Poblano-chili,Cili Poblano,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
202,🌶️,"Jalapenjos ",Jalapeno pepper,Jalapeño,Jalapeño,29,0,2,0.40,0.10,6.50,4.00,0.01,0.90,2.80,Sirup,Jalapeño's,Jalapeños,Jalapeños,Jalapeños,Cili Jalapeno,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
203,NULL,Hominy,Hominy,Milho para canjica,Maíz pozolero,85,0,2,1.00,0.10,14.00,1.50,0.60,2.00,2.50,Gula bubuk,Hominy,Hominy,Hominy,Hominy,Hominy,M,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
204,🍅,Tomatillos,Tomatillos,Tomatillo,Tomatillo,32,50,2,0.60,0.10,6.00,4.00,0.01,1.00,2.00,Gula merah,Tomatillo's,Tomatillos,Tomatillos,Tomatillos,Tomatillo,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
205,NULL,Chorizo,Chorizo (cured),Chouriço,Chorizo,455,0,1,38.00,15.50,2.00,1.00,3.50,24.00,0.00,Gula tebu,Chorizo,Chorizo,Chorizo,Chorizo,Chorizo,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
206,NULL,"Wiener Würstchen ",Vienna sausage,Salsicha (tipo Viena),"Salchicha de Viena ",270,0,1,24.00,9.50,0.50,0.50,2.20,13.00,0.00,Stevia,Wiener worstjes,Wienerkorv,Wienerpølser,Wienerpølser,Sosej Vienna,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
207,NULL,Hühnerbrühe,Chicken broth,Caldo de galinha,Caldo de pollo,15,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Pemanis,Kippenbouillon,Kycklingbuljong,Kyllingebouillon,Kyllingbuljong,Stok ayam,F,-,M,F,-,-,DE,EN,EN,EN,1,0,0,0
208,NULL,Radieschen,Radish,Rabanete,Rábano,16,0,2,0.10,0.00,2.00,1.90,0.05,0.70,1.60,Jeli,Radijsjes,Rädisor,Radiser,Reddik,Lobak putih kecil (radish),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
209,NULL,Salsa Verde,Salsa Verde,Molho Verde,Salsa Verde,35,0,7,0.00,0.00,0.00,0.00,1.80,0.00,0.00,Gelatin,Salsa Verde,Salsa Verde,Salsa Verde,Salsa Verde,Salsa Verde,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
210,NULL,"Butternuss-Kürbis ",Butternut squash,Abóbora Butternut,Calabaza Butternut,45,0,2,0.10,0.10,11.70,2.20,0.01,1.00,2.00,Agar-agar,Flespompoen,Butternutpumpa,Butternutsquash,Butternøttgresskar,Labu manis (Butternut),M,-,M,M,-,-,PL,EN,EN,EN,0,1,0,1
211,NULL,Grünen Spargel,Green asparagus,Espargos verdes,Espárragos verdes,20,0,2,0.10,0.10,2.00,1.80,0.01,2.20,2.10,Puding,Groene asperges,Grön sparris,Grønne asparges,Grønn asparges,Asparagus hijau,M,-,PL,PL,-,-,DE,EN,EN,EN,0,1,0,0
212,NULL,Weißen Spargel,White asparagus,Espargos brancos,Espárragos blancos,18,0,2,0.10,0.10,2.20,1.90,0.01,2.00,1.50,Es krim,Witte asperges,Vit sparris,Hvide asparges,Hvit asparges,Asparagus putih,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
213,🍅,"Gehackte Tomaten (Dose, Natur)",Chopped tomatoes,Tomate picado,Tomate troceado,22,400,2,0.20,0.00,3.50,3.00,0.10,1.00,1.00,Sorbet,Gepelde tomaten (blik),Krossade tomater,Hakkede tomater (dåse),Hakkede tomater (boks),Tomato cincang (tin),PL,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
214,NULL,Mandelmehl,Almond flour,Farinha de amêndoa (desengordurada),Harina de almendra,370,0,7,13.00,1.50,7.00,6.50,0.01,50.00,12.00,Sherbet,Amandelmeel,Mandelmjöl,Mandelmel,Mandelmel,Tepung badam,N,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
215,NULL,Sucuk,Sucuk,Sucuk,Sucuk,380,0,1,35.00,17.00,2.00,1.00,3.00,16.00,0.00,Keju krim,Sucuk,Sucuk,Sucuk,Sucuk,Sucuk,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
216,NULL,Paprikapulver (edelsüß),Sweet Paprika,Colorau,Pimentón dulce,282,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ricotta,Paprikapoeder (mild),Paprikapulver (sött,Paprika (sød),Paprikapulver (søtt),Serbuk paprika (manis),N,-,M,M,-,-,DE,ET,EN,EN,0,1,0,0
217,NULL,Grüner Pfeffer,Green peppercorns,Pimenta verde,Pimienta verde,0,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mascarpone,Groene peper,Grönpeppar,Grøn peber,Grønn pepper,Lada hijau,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
218,🥩,Rinderhackfleisch,Minced beef,Carne moída (de boi/vaca),Carne picada,250,0,1,20.00,8.50,0.00,0.00,0.15,17.50,0.00,Gouda,Rundergehakt,Nötfärs,Hakket oksekød,Kjøttdeig av storfe,Daging lembu kisar,N,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
219,NULL,Schweinehackfleisch,Pork mince,Carne moída de porco,Carne picada de cerdo,290,0,1,23.00,8.50,0.00,0.00,0.15,17.00,0.00,Cheddar,Varkensgehakt,Fläskfärs,Hakket svinekød,Kjøttdeig av svin,Daging babi kisar,N,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
220,NULL,Gemischtes Hackfleisch (50% Rind / 50% Schwein),Mixed minced meat,Carne moída mista (boi e porco),Carne picada mixta,270,0,1,22.00,9.00,0.00,0.00,0.15,18.00,0.00,Emmental,Half-om-half gehakt,Blandfärs,Hakket kalv og flæsk,Blandingsdeig,Daging kisar campur,N,-,F,M,-,-,DE,EN,EN,EN,1,0,0,0
221,NULL,Kokosmehl,Coconut flour,Farinha de coco,Harina de coco,350,0,7,12.00,11.00,21.00,20.00,0.10,19.00,38.00,Brij,Kokosmeel,Kokosmjöl,Kokosmel (fin),Kokosmel,Tepung kelapa,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
222,NULL,Kümmel (gemahlen),Caraway (ground),Alcaravia (moída),Alcaravea,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Camembert,Karwijzaad (gemalen),Kummin (malen,Kommen (stødt),Karve (malt),Jintan manis (serbuk),M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
223,NULL,Reismehl,Rice flour,Farinha de arroz,Harina de arroz,365,0,7,1.00,0.20,80.00,0.20,0.01,6.00,2.50,Blue cheese,Rijstmeel,Rismjöl,Rismel,Rismel,Tepung beras,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
224,NULL,Apfelwein,Cider,Sidra,Sidra,40,0,7,0.00,0.00,3.00,1.50,0.01,0.00,0.00,Gravy,Appelcider,Cider,Æblecider,Eplecider,Sider epal,M,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
225,NULL,Vanillezucker,Vanilla sugar,Açúcar baunilhado,Azúcar avainillado,398,4,7,0.00,0.00,98.00,98.00,0.00,0.00,0.00,Saus,Vanillesuiker,Vaniljsocker,Vaniljesukker,Vaniljesukker,Gula vanila,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
226,NULL,Puddingpulver (Vanille),Vanilla pudding powder,Pudim em pó (sabor baunilha),Preparado para flan,350,5,7,0.00,0.00,87.00,0.00,0.00,0.00,0.00,Saus putih,Puddingpoeder (vanille),Puddingpulver (vanilj,Buddingpulver (vanilje),Vaniljepuddingpulver,Serbuk puding (vanila),N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
227,🥚,Eigelb,Egg yolk,Gema (de ovo),Yema (de huevo),322,20,7,26.50,9.50,3.50,0.50,0.01,16.00,0.00,Saus cokelat,Eigeel,Äggula,Æggeblomme,Eggeplomme,Kuning telur,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
228,NULL,Wirsing,Savoy cabbage,Couve lombarda,Col de Milán,27,900,2,0.40,0.10,3.00,2.00,0.02,2.00,2.50,Saus karamel,Savooiekool,Savoykål,Savoykål,Savoykål,Kobis Savoy,M,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
229,NULL,Sojagranulat,Soya mince,Proteína de soja texturizada (fina),Soja texturizada (fina),330,0,7,1.20,0.20,30.00,10.00,0.20,50.00,18.00,Saus vanila,Sojagranulaat,Sojafärs (torkad,Sojagranulat,Sojagranulat,Granul soya,M,-,M,M,-,-,DE,EN,ET,ET,0,1,0,0
230,🍋,Zitronen,Lemon,Limão,Limón,35,0,4,0.30,0.20,9.00,2.50,0.01,1.00,2.80,Saus pesto,Citroenen,Citroner,Citroner,Sitroner,Lemon,M,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
231,🥚,Eiweiß,Egg white,Clara (de ovo),Clara (de huevo),50,40,7,0.00,0.00,0.00,0.00,0.00,11.00,0.00,Pesto,Eiwit,Äggvita,Æggehvide,Eggehvite,Putih telur,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
232,NULL,Zuckerschoten,Snow peas,Ervilha torta,Tirabeques,42,0,2,0.20,0.00,7.50,4.00,0.01,3.30,2.60,Tomat pasta,Peultjes,Sockerärtor,Slikærter,Sukkererter,Kacang pea manis,PL,-,PL,F,-,-,DE,EN,EN,EN,0,1,0,0
233,🌶️,Chiliflocken,Chili flakes,Pimenta calabresa,Hojuelas de chile,0,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tomat puree,Chilivlokken,Chiliflingor,Chiliflager,Chiliflak,Serpihan cili,PL,-,M,F,-,-,PL,EN,EN,EN,0,1,0,0
234,NULL,Dorade,Gilt-head (sea) bream,Dourada,Dorada,96,0,6,2.50,0.60,0.00,0.00,0.10,19.00,0.00,Tomat passata,Dorade,Dorada,Dorade,Dorade,Ikan Dorada,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
235,🍗,Entenkeule,Duck leg,Perna de pato,Muslo de pato,282,350,1,22.00,7.50,0.00,0.00,0.10,19.00,0.00,Saus bolognese,Eendenpoot,Anklår,Andelår,Andelår,Peha itik,F,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
236,🍗,Entenbrust,Duck breast,Peito de pato,Pechuga de pato,337,350,1,28.00,9.50,0.00,0.00,0.10,19.00,0.00,Saus carbonara,Eendenborst,Ankbröst,Andebryst,Andebryst,Dada itik,M,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
237,NULL,Salsiccia,Italian sausage,Linguiça toscana,Salchicha fresca,320,120,1,27.00,10.00,1.00,0.00,2.20,17.00,0.00,Saus alfredo,Salsiccia,Salsiccia,Salsiccia,Salsiccia,Salsiccia (sosej Itali),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
238,NULL,Wolfsbarsch (Branzino),Branzino,Robalo,Lubina,97,500,6,2.00,0.50,0.00,0.00,0.10,18.00,0.00,Saus curry,Zeebaars,Havsabborre,Havaborre,Havabbor,Ikan siakap,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
239,🦑,Oktopus,Octopus,Polvo,Pulpo,82,800,6,1.00,0.20,2.20,0.00,0.60,15.00,0.00,Kari,Octopus,Bläckfisk (oktopus,Blæksprutte (octopus),Oktopus,Sotong kurita,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
240,🫘,Weiße Bohnen,White beans,Feijão branco,Alubias blancas,300,0,9,1.50,0.20,45.00,2.50,0.20,21.00,18.00,Kunyit,Witte bonen,Vita bönor,Hvide bønner,Hvite bønner,Kacang putih,PL,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
241,🍗,Putenkeule,Turkey leg,Coxa de peru,Muslo de pavo,170,1000,1,9.00,3.00,0.00,0.00,0.15,21.00,0.00,Jahe,Kalkoenpoot,Kalkonlår,Kalkunlår,Kalkunlår,Peha ayam belanda,F,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
242,NULL,Rote Bohnenpaste,Red bean paste,Doce de feijão azuki,Pasta de judías rojas,240,8,7,0.00,0.00,53.00,40.00,0.15,0.00,0.00,Bawang merah,Rode bonenpasta,Röd bönpasta,Rød bønnepasta,Rød bønnepasta,Pes kacang merah,F,-,F,M,-,-,DE,EN,EN,EN,0,0,1,0
243,NULL,Mungbohnen,Mung beans,Feijão-mungo,Judía mungo,347,0,9,0.00,0.00,63.00,6.50,16.00,24.00,0.00,Cabai,Mungbonen,Mungbönor,Mungbønner,Mungbønner,Kacang hijau,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
244,NULL,Chia-Samen,Chia seeds,Sementes de chia,Semillas de chía,486,4,7,31.00,3.30,42.00,0.00,0.01,17.00,34.00,Cabai bubuk,Chia-zaad,Chiafrön,Chiafrø,Chiafrø,Biji chia,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
245,NULL,Erythrit,Erythritol,Eritritol,Eritritol,0,0,7,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Cabai kering,Erythritol,Erytritol,Erythritol,Erytritol,Eritritol,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
246,NULL,Wacholderbeeren,Juniper berries,Bagas de zimbro,Bayas de enebro,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cabai segar,Jeneverbessen,Enbär,Enebær,Enerbær,Beri juniper,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
247,NULL,Geräucherter Lachs,Smoked salmon,Salmão fumado,Salmón ahumado,180,0,6,10.00,1.80,0.00,0.00,3.00,22.00,0.00,Cabai hijau,Gerookte zalm,Rökt lax,Røget laks,Røkt laks,Salmon salai,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
248,🧅,Perlzwiebeln,Pearl onions,Cebolinha pérola,Cebollitas perla,42,13,2,0.20,0.00,9.50,5.00,0.01,1.30,1.50,Cabai merah,Zilveruitjes,Syltlök,Sølvløg,Sølvløk,Bawang mutiara,F,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
249,NULL,Geräucherter Tofu,Smoked tofu,Tofu fumado,Tofu ahumado,140,0,7,8.50,1.50,1.50,0.50,1.40,14.00,0.00,Cabe rawit,Gerookte tofu,Rökt tofu,Røget tofu,Røkt tofu,Tahu salai,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
250,NULL,Jackfruit (aus der Dose),Young Green Jackfruit,Jaca (verde),Yaca,22,0,4,0.30,0.10,1.50,0.00,1.50,1.10,2.50,Cabe jalapeno,Jackfruit (uit blik),Jackfrukt (på burk),Jackfrugt (på dåse),Jackfrukt (på boks),Nangka (dalam tin),M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
251,NULL,Grieß (Weizen),Semolina,Sêmola (de trigo),Sémola (de trigo),330,0,8,1.00,0.00,69.00,2.50,0.01,11.00,4.00,Cabe habanero,Griesmeel (tarwe),Mannagryn,Gryn (hvede),Semulegryn,Semolina,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
252,NULL,Kalbsnieren,Veal kidneys,Rins de vitela,Riñones de ternera,112,0,1,4.50,1.50,1.00,0.00,0.15,16.00,0.00,Cabe serrano,Kalfsnieren,Kalvnjurar,Kalvenyrer,Kalvenyrer,Buah pinggang anak lembu,M,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
253,NULL,Muskat-Kürbis,Musquée de Provence pumpkin,Abóbora almiscarada,Calabaza moscada,25,0,2,0.10,0.00,4.10,2.80,0.01,1.10,1.50,Cabe poblano,Muskaatpompoen,Myskpumpa,Moskusgræskar,Muskatgresskar,Labu pala,M,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
254,🥑,Avocado,Avocado,Palta,Aguacate,160,200,2,15.00,2.10,9.50,0.70,0.01,2.00,7.00,Cabe ancho,Avocado,Avokado,Avocado,Avokado,Avokado,M,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
255,NULL,Zwiebelpulver,Onion powder,Cebola em pó,Cebolla en polvo,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cabe chipotle,Uienpoeder,Lökpulver,Løgpulver,Løkpulver,Serbuk bawang besar,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
256,NULL,Reispapierblätter,Reispapierblätter,Folha de arroz,Papel de arroz,0,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cabe paprika,Rijstpapier,Rispapper,Rispapir,Rispapir,Kertas beras,PL,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
257,🍙,Basmatireis,Basmati rice,Arroz basmati,Arroz basmati,365,0,8,2.00,0.00,78.00,0.20,0.01,9.00,1.50,Cabe manis,Basmatirijst,Basmatiris,Basmatiris,Basmatiris,Beras Basmati,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
258,NULL,Aquafaba (Kichererbsenwasser),Aquafaba,Aquafaba,Aquafaba,18,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cabe pedas,Aquafaba (kikkererwtenvocht),Aquafaba (kikärtsspad,Aquafaba (kikærtevand),Aquafaba (kikertervann),Aquafaba (air kacang kuda),M,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
259,🥒,Essiggurken,Pickles,Pepinos em conserva,Pepinillos,30,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cabe asap,Augurken,Inlagd gurka,Syltede agurker,Sylteagurk,Acar timun,M,-,M,F,-,-,PL,EN,EN,EN,1,0,0,0
260,NULL,Vorgekochte Maronen,Cooked chestnuts,Castanhas cozidas,Castañas cocidas,200,0,7,1.50,0.00,42.00,9.00,0.01,3.00,5.00,Cabe panggang,Gekookte kastanjes,Kokta kastanjer,Kogte kastanjer,Kokte kastanjer,Buah berangan (siap masak),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
261,🥩,Ochsenbäckchen,Beef cheeks,Bochechas de boi,Carrilleras de ternera,160,400,1,5.00,2.20,0.00,0.00,0.15,28.00,0.00,Cabe bubuk asap,Ossenwangen,Oxkind,Oksekæber,Oksekjaker,Pipi lembu,M,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
262,🥔,"Pommes ",French fries,Batatas fritas (palito),Patatas fritas,150,0,2,2.00,0.60,24.00,0.50,0.10,2.50,2.50,Bawang bombay,Patat,Pommes frites,Pommes frites,Pommes frites,Kentang goreng,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
263,🥛,Paneer,Paneer,Paneer,Paneer,290,0,3,23.00,15.00,3.00,3.00,0.10,18.00,0.00,Bawang daun,Paneer,Paneer,Paneer,Paneer,Paneer,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
264,🍄‍🟫,Riesen-Champignon,Portobello mushroom,Cogumelo Portobello,Champiñón Portobello,22,90,2,0.30,0.00,3.90,2.50,0.02,2.10,1.30,Daun bawang,Portobello,Portobello,Portobello,Portobello-sopp,Cendawan Portobello,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
265,NULL,Kabeljaufilets,Cod fillets,Bacalhau fresco,Bacalao fresco,75,150,6,0.60,0.10,0.00,0.00,0.20,17.50,0.00,Seledri,Kabeljauwfilets,Torskfilé,Torskefilet,Torskefilet,Filet ikan kod,M,-,M,M,-,-,DE,EN,ET,ET,0,1,0,0
266,NULL,Himbeeren,Raspberries,Framboesas,Frambuesas,43,0,4,0.30,0.00,4.80,4.40,0.01,1.30,6.70,Seledri akar,Frambozen,Hallon,Hindbær,Bringebær,Rasberi,PL,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
267,NULL,Grüne Linsen,Green lentils,Lentilhas verdes,Lentejas verdes,350,0,9,1.50,0.20,53.00,2.00,0.02,25.00,16.00,Zucchini,Groene linzen,Gröna linser,Grønne linser,Grønne linser,Lenti hijau,PL,-,PL,PL,-,-,PL,EN,EN,EN,0,1,0,0
268,NULL,Jakobsmuscheln,Scallops,Vieiras,Vieiras,111,40,6,0.80,0.10,2.40,0.00,0.40,20.40,0.00,Aubergine,Sint-jakobsschelpen,Pilgrimsmusslor,Kammuslinger,Kamskjell,Kerang simping (scallops),M,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
269,NULL,Kadaif,Kataifi pastry,Massa Kataifi,Masa Kataifi,300,0,7,0.00,0.00,60.00,0.00,0.00,8.00,0.00,Terong,Kadaif,Kadaif,Kadaif,Kadaif,Kadaif,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
270,NULL,Zanderfilets,Pike-perch,Lúcio-perca,Lucioperca,84,200,6,0.70,0.10,0.00,0.00,0.10,19.20,0.00,Kubis,Snoekbaarsfilets,Gösfilé,Sandartfilet,Gjørsfilet,Filet ikan zander,M,-,F,F,-,-,DE,EN,ET,ET,0,1,0,0
271,NULL,Grüner Kardamom,Green Cardamom pods,Cardamomo (em vagem),Cardamomo (en vaina),0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kubis merah,Groene kardemom,Grön kardemumma,Grøn kardemomme,Grønn kardemomme,Buah pelaga hijau,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
272,NULL,Kartoffelstärke,"Potato starch ",Fécula de batata,Fécula de patata,0,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kubis putih,Aardappelzetmeel,Potatismjöl,Kartoffelmel,Potetmel,Pati kentang,F,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
273,🍋,Zitronenabrieb,Lemon zest,Raspas de limão,Ralladura de limón,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kubis savoy,Citroenrasp,Citronskal (rivet,Citronskal (revet),Sitronskall (revet),Parutan kulit lemon,M,-,M,M,-,-,DE,ET,EN,EN,0,1,0,0
274,🍄‍🟫,Steinpilze,Porcini mushrooms,Cogumelos Porcini,Boletus,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kubis brussels,Eekhoorntjesbrood,Karljohansvamp,Karl Johan svampe,Steinsopp,Cendawan porcini,PL,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
275,NULL,Seehecht,Hake,Pescada,Merluza,78,0,6,1.20,0.30,0.00,0.00,0.01,16.80,0.00,Sawi,Heek,Kummel,Kulmule,Lysing,Ikan hake,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
276,NULL,Salz,Salt,Sal,Sal,0,5,5,0.00,0.00,0.00,0.00,100.00,0.00,0.00,Sawi hijau,Zout,Salt,Salt,Salt,Garam,N,-,M,M,-,-,DE,ET,ET,ET,0,1,0,0
277,🧂,Pfeffer,Pepper,Pimenta do reino,Pimienta,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sawi putih,Peper,Peppar,Peber,Pepper,Lada hitam,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
278,NULL,Fenchel,Fennel,Funcho,Hinojo,31,250,2,0.20,0.03,7.30,3.90,0.02,1.20,3.10,Pak choi,Venkel,Fänkål,Fennikel,Fennikel,Adas,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
